Segmento,N_Clientes,N_Responden,Desc_%,Coste_Contacto_€,Coste_Marketing_€,Coste_Descuentos_€,Costes_Campaña_€,Margen_Bruto_€,Beneficio_Neto_€,ROI_%
MUY_ALTO,260,26,15.0,1170.0,93.40977000000002,2329.532371005679,3592.9421410056793,6189.2388067045285,2596.296665698849,0.7226102074029322
ALTO,4343,434,12.000000000000002,19543.5,1364.43662,25466.38627363442,46374.322893634424,75776.22361362018,29401.90071998576,0.6340125070380621
MEDIO,3916,391,7.999999999999999,17622.0,1371.1759800000004,17157.017381200472,36150.19336120047,77345.1192650059,41194.92590380542,1.1395492547494752
BAJO,31,3,5.000000000000002,139.5,12.274900000000004,101.33190930018475,253.10680930018475,799.1481860036952,546.0413767035104,2.1573555378192344
MUY_BAJO,1450,145,1.9999999999999998,6525.0,488.37322,1462.2591972616826,8475.632417261682,24275.637863084117,15800.005445822435,1.8641683201885624
